Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,4.411118689403739,0.07497879558948262,4.3074067660740445,0.13719512195121952
2,3.6257769189855105,0.20712468193384223,4.0720358065196445,0.2423780487804878
3,2.8896521393970778,0.3258693808312129,4.059624603816441,0.28353658536585363
4,2.4790952218476163,0.3937234944868533,4.2949350987161905,0.3125
5,2.2583966165460567,0.44308736217133166,4.5280351269812815,0.3307926829268293
6,2.1302121749488254,0.46446140797285834,4.594208033311935,0.3323170731707317
7,1.9722587895649735,0.5014418999151824,4.858438694760913,0.3445121951219512
8,1.8012309484584357,0.5321458863443597,4.950034751778557,0.3597560975609756
9,1.7636485843248264,0.544529262086514,4.983146228960583,0.3567073170731707
10,1.767526211277131,0.5438507209499576,4.932403760296958,0.3567073170731707
11,1.7251872708720546,0.5523324851569127,4.961092347190494,0.3551829268292683
12,1.774379381569483,0.5499575911789653,5.009280675933475,0.3597560975609756
13,1.7257641925606677,0.5521628498727735,4.992500701120922,0.3551829268292683
